observer id,session id,left image,right image,selected image,time spent (in seconds)
2562,6959,0809_BSRGAN.png,0809_RealESRGAN.png,0809_BSRGAN.png,0
2562,6959,0809_SwinIR.png,0809_RealESRGAN.png,0809_RealESRGAN.png,0
2562,6959,0841_BSRGAN.png,0841_ResShift.png,0841_ResShift.png,1
2562,6959,0841_BSRGAN.png,0841_SwinIR.png,0841_BSRGAN.png,1
2562,6959,0841_SwinIR.png,0841_RealESRGAN.png,0841_RealESRGAN.png,0
2562,6959,0841_ResShift.png,0841_SwinIR.png,0841_ResShift.png,0
2562,6959,0841_RealESRGAN.png,0841_BSRGAN.png,0841_BSRGAN.png,0
2562,6959,0841_RealESRGAN.png,0841_ResShift.png,0841_RealESRGAN.png,0
2562,6959,0896_RealESRGAN.png,0896_BSRGAN.png,0896_BSRGAN.png,0
2562,6959,0896_SwinIR.png,0896_RealESRGAN.png,0896_SwinIR.png,0
2562,6959,0896_ResShift.png,0896_BSRGAN.png,0896_BSRGAN.png,1
2562,6959,0896_ResShift.png,0896_RealESRGAN.png,0896_RealESRGAN.png,0
2562,6959,0896_BSRGAN.png,0896_SwinIR.png,0896_BSRGAN.png,0
2562,6959,0896_ResShift.png,0896_SwinIR.png,0896_SwinIR.png,0
2562,6959,0819_SwinIR.png,0819_ResShift.png,0819_SwinIR.png,0
2562,6959,0819_BSRGAN.png,0819_RealESRGAN.png,0819_BSRGAN.png,0
2562,6959,0819_SwinIR.png,0819_BSRGAN.png,0819_BSRGAN.png,0
2562,6959,0819_BSRGAN.png,0819_ResShift.png,0819_ResShift.png,1
2562,6959,0819_RealESRGAN.png,0819_SwinIR.png,0819_SwinIR.png,2
2562,6959,0819_RealESRGAN.png,0819_ResShift.png,0819_ResShift.png,1
2562,6959,0825_BSRGAN.png,0825_SwinIR.png,0825_BSRGAN.png,1
2562,6959,0825_SwinIR.png,0825_RealESRGAN.png,0825_RealESRGAN.png,0
2562,6959,0825_ResShift.png,0825_SwinIR.png,0825_ResShift.png,1
2562,6959,0825_RealESRGAN.png,0825_ResShift.png,0825_ResShift.png,0
2562,6959,0825_BSRGAN.png,0825_ResShift.png,0825_ResShift.png,1
2562,6959,0825_RealESRGAN.png,0825_BSRGAN.png,0825_RealESRGAN.png,1
2562,6959,0862_ResShift.png,0862_SwinIR.png,0862_SwinIR.png,0
2562,6959,0862_RealESRGAN.png,0862_ResShift.png,0862_ResShift.png,0
2562,6959,0862_BSRGAN.png,0862_ResShift.png,0862_ResShift.png,1
2562,6959,0862_RealESRGAN.png,0862_SwinIR.png,0862_RealESRGAN.png,0
2562,6959,0862_BSRGAN.png,0862_SwinIR.png,0862_SwinIR.png,0
2562,6959,0862_BSRGAN.png,0862_RealESRGAN.png,0862_RealESRGAN.png,1
2562,6959,0874_ResShift.png,0874_SwinIR.png,0874_SwinIR.png,0
2562,6959,0874_SwinIR.png,0874_RealESRGAN.png,0874_SwinIR.png,1
2562,6959,0874_BSRGAN.png,0874_ResShift.png,0874_ResShift.png,14
2562,6959,0874_RealESRGAN.png,0874_BSRGAN.png,0874_BSRGAN.png,5
2562,6959,0874_BSRGAN.png,0874_SwinIR.png,0874_BSRGAN.png,5
2562,6959,0874_ResShift.png,0874_RealESRGAN.png,0874_RealESRGAN.png,1
2562,6959,0814_SwinIR.png,0814_ResShift.png,0814_ResShift.png,2
2562,6959,0814_BSRGAN.png,0814_RealESRGAN.png,0814_BSRGAN.png,0
2562,6959,0814_SwinIR.png,0814_RealESRGAN.png,0814_RealESRGAN.png,0
2562,6959,0814_BSRGAN.png,0814_ResShift.png,0814_BSRGAN.png,1
